month,year,house_value,mortgage_balance,homeowner_net_worth,homeowner_stock_portfolio,homeowner_stock_contribution,investor_net_worth,investor_stock_portfolio,investor_stock_contribution,stock_net_worth,gross_stock_portfolio,stock_loan_balance,monthly_rent,investment_property_rental_income,stock_contribution,renter_spendable_cash,homeowner_spendable_cash,investor_spendable_cash
52,4.333333333333333,1755762.9085377555,925568.5235037499,890450.0191685987,60255.63413459312,1000,1041089.1045050813,210894.71947107572,3500,361582.9931431277,552847.3200786698,191264.3269355421,5412.1608,8118.2411999999995,2500,2659.0432474799145,3500,3706.080399999999
53,4.416666666666667,1761086.8184481256,921839.4042387528,900843.7424597732,61596.32825040041,1000,1054834.563085774,215587.14887640122,3500,367407.06778193713,558473.199203432,191066.13142149482,5412.1608,8118.2411999999995,2500,2659.0432474799145,3500,3706.080399999999
54,4.5,1766426.8717777445,918095.0920802661,911276.382543137,62944.60284565851,1000,1068637.889657283,220306.10995980457,3500,373264.227155155,564130.8878666975,190866.66071154253,5412.1608,8118.2411999999995,2500,2659.0432474799145,3500,3706.080399999999
55,4.583333333333333,1771783.117477475,914335.5251305611,921748.0931284142,64300.50078150035,1000,1082499.345082165,225051.752735251,3500,379154.65932318557,569820.5659242219,190665.90660103632,5412.1608,8118.2411999999995,2500,2659.0432474799145,3500,3706.080399999999
56,4.666666666666667,1777155.6046466115,910560.6412397301,932259.0285682833,65664.06516140192,1000,1096419.1914717879,229824.2280649065,3500,385078.55341615254,575542.4142486909,190463.8608325384,5412.1608,8118.2411999999995,2500,2659.0432474799145,3500,3706.080399999999
57,4.75,1782544.3825333295,906770.378004659,942809.3438612231,67035.33933255254,1000,1110397.6921926043,234623.68766393367,3500,391036.09963998897,581296.6147354713,190260.51509548235,5412.1608,8118.2411999999995,2500,2659.0432474799145,3500,3706.080399999999
58,4.833333333333333,1787949.5005351373,902964.6727679955,953399.1946543746,68414.36688723284,1000,1124435.1118724565,239450.28410531473,3500,397027.4892825608,587083.3503083922,190055.86102583137,5412.1608,8118.2411999999995,2500,2659.0432474799145,3500,3706.080399999999
59,4.916666666666667,1793371.0081993286,899143.4626171138,964028.7372464152,69801.19166420054,1000,1138531.7164069163,244304.17082470166,3500,403052.9147198267,592902.8049255608,189849.89020573412,5412.1608,8118.2411999999995,2500,2659.0432474799145,3500,3706.080399999999
60,5.0,1798808.955223437,895306.6843830742,974698.1285904468,71195.85775008406,1000,1152687.7729656568,249185.50212529404,3500,409112.56942203175,598755.1635852103,189642.59416317858,5412.1608,8118.2411999999995,2500,2659.0432474799145,3500,3706.080399999999
61,5.083333333333333,1804263.3914556913,891454.2746395787,985407.5262968967,72598.40948078406,1000,1166903.5499988566,254094.43318274405,3500,415206.64795993717,604640.6123315807,189433.96437164355,5520.404016,8280.606024,2500,2550.8000314799137,3500,3760.202008
62,5.166666666666667,1809734.3668954726,887586.1697019228,996157.0886364327,74008.8914428828,1000,1181179.3172436394,259031.1200500896,3500,421335.34601108526,610559.3382608332,189223.9922497479,5520.404016,8280.606024,2500,2550.8000314799137,3500,3760.202008
63,5.25,1815221.9316937723,883702.3056259428,1006946.9745428911,75427.34847506155,1000,1195515.3457305448,263995.7196627152,3500,427498.86036610004,616511.5295269978,189012.66916089779,5520.404016,8280.606024,2500,2550.8000314799137,3500,3760.202008
64,5.333333333333333,1820726.1361536526,879802.6182069583,1017777.3436162203,76853.82566952602,1000,1209911.9077900352,268988.3898433409,3500,433697.388935024,622497.375347955,188799.98641293106,5520.404016,8280.606024,2500,2550.8000314799137,3500,3760.202008
65,5.416666666666667,1826247.0307307064,875887.0429787113,1028648.3561254349,78288.36837343982,1000,1224369.2770590344,274009.28930703923,3500,439931.1307536906,628517.0660114506,188585.93525776,5520.404016,8280.606024,2500,2550.8000314799137,3500,3760.202008
66,5.5,1831784.666033521,871955.5152123003,1039560.1730115868,79731.022190366,1000,1238887.7284875016,279058.57766628085,3500,446200.2859901333,634570.7928811448,188370.5068910115,5520.404016,8280.606024,2500,2550.8000314799137,3500,3760.202008
67,5.583333333333333,1837339.0928241415,868007.9699151102,1050512.9558907482,81181.83298171677,1000,1253467.5383450398,284136.41543600854,3500,452505.0559510311,640658.7484026959,188153.69245166477,5520.404016,8280.606024,2500,2550.8000314799137,3500,3760.202008
68,5.666666666666667,1842910.362018536,864044.3418297376,1061506.8670570098,82640.84686821145,1000,1268108.9842275383,289242.9640387399,3500,458845.6430881908,646781.1261098778,187935.48302168702,5520.404016,8280.606024,2500,2550.8000314799137,3500,3760.202008
69,5.75,1848498.5246870627,860064.565432913,1072542.0694854923,84108.11023134261,1000,1282812.3450638487,294378.38580969896,3500,465222.2510050662,652938.1206307327,187715.86962566653,5520.404016,8280.606024,2500,2550.8000314799137,3500,3760.202008
70,5.833333333333333,1854103.6320549373,856068.5749344165,1083618.7268353715,85583.66971485053,1000,1297577.9011224974,299542.84400197666,3500,471635.08446331456,659129.927693758,187494.84323044348,5520.404016,8280.606024,2500,2550.8000314799137,3500,3760.202008
